"BehaviorSpace results (NetLogo 6,0)"
"Simple Birth Ratesmodositott,nlogo"
"kék termékenységének hatása a piros kihalására"
"03/02/2017 14:30:37:367 +0100"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-50";"50";"-50";"50"
"[run number]";"carrying-capacity";"red-fertility";"blue-fertility";"[step]";"ticks ;végén kell csak adatot kimenteni"
"189";"1000";"2";"3,9";"12";"12"
"188";"1000";"2";"3,9";"16";"16"
"190";"1000";"2";"3,9";"14";"14"
"192";"1000";"2";"4";"13";"13"
"193";"1000";"2";"4";"12";"12"
"191";"1000";"2";"4";"20";"20"
"194";"1000";"2";"4";"13";"13"
"196";"1000";"2";"4";"13";"13"
"195";"1000";"2";"4";"15";"15"
"197";"1000";"2";"4";"17";"17"
"198";"1000";"2";"4";"13";"13"
"199";"1000";"2";"4";"12";"12"
"200";"1000";"2";"4";"18";"18"
"201";"1000";"2";"4,1";"15";"15"
"202";"1000";"2";"4,1";"15";"15"
"203";"1000";"2";"4,1";"13";"13"
"204";"1000";"2";"4,1";"12";"12"
"205";"1000";"2";"4,1";"14";"14"
"206";"1000";"2";"4,1";"12";"12"
"208";"1000";"2";"4,1";"11";"11"
"207";"1000";"2";"4,1";"21";"21"
"210";"1000";"2";"4,1";"14";"14"
"209";"1000";"2";"4,1";"15";"15"
"211";"1000";"2";"4,2";"16";"16"
"212";"1000";"2";"4,2";"14";"14"
"214";"1000";"2";"4,2";"15";"15"
"213";"1000";"2";"4,2";"18";"18"
"215";"1000";"2";"4,2";"12";"12"
"217";"1000";"2";"4,2";"14";"14"
"218";"1000";"2";"4,2";"14";"14"
"216";"1000";"2";"4,2";"17";"17"
"219";"1000";"2";"4,2";"12";"12"
"223";"1000";"2";"4,3";"11";"11"
"221";"1000";"2";"4,3";"14";"14"
"222";"1000";"2";"4,3";"13";"13"
"220";"1000";"2";"4,2";"16";"16"
"225";"1000";"2";"4,3";"11";"11"
"224";"1000";"2";"4,3";"13";"13"
"226";"1000";"2";"4,3";"12";"12"
"227";"1000";"2";"4,3";"12";"12"
"228";"1000";"2";"4,3";"13";"13"
"231";"1000";"2";"4,4";"12";"12"
"230";"1000";"2";"4,3";"12";"12"
"229";"1000";"2";"4,3";"17";"17"
"232";"1000";"2";"4,4";"14";"14"
"234";"1000";"2";"4,4";"15";"15"
"233";"1000";"2";"4,4";"17";"17"
"235";"1000";"2";"4,4";"20";"20"
"236";"1000";"2";"4,4";"11";"11"
"238";"1000";"2";"4,4";"11";"11"
"237";"1000";"2";"4,4";"14";"14"
"239";"1000";"2";"4,4";"12";"12"
"240";"1000";"2";"4,4";"15";"15"
"242";"1000";"2";"4,5";"10";"10"
"241";"1000";"2";"4,5";"12";"12"
"243";"1000";"2";"4,5";"11";"11"
"244";"1000";"2";"4,5";"13";"13"
"245";"1000";"2";"4,5";"11";"11"
"246";"1000";"2";"4,5";"13";"13"
"247";"1000";"2";"4,5";"12";"12"
"249";"1000";"2";"4,5";"9";"9"
"250";"1000";"2";"4,5";"14";"14"
"248";"1000";"2";"4,5";"16";"16"
"252";"1000";"2";"4,6";"13";"13"
"251";"1000";"2";"4,6";"16";"16"
"253";"1000";"2";"4,6";"11";"11"
"254";"1000";"2";"4,6";"12";"12"
"255";"1000";"2";"4,6";"10";"10"
"256";"1000";"2";"4,6";"10";"10"
"257";"1000";"2";"4,6";"10";"10"
"258";"1000";"2";"4,6";"11";"11"
"259";"1000";"2";"4,6";"10";"10"
"260";"1000";"2";"4,6";"11";"11"
"261";"1000";"2";"4,7";"11";"11"
"262";"1000";"2";"4,7";"11";"11"
"263";"1000";"2";"4,7";"11";"11"
"264";"1000";"2";"4,7";"11";"11"
"265";"1000";"2";"4,7";"8";"8"
"266";"1000";"2";"4,7";"13";"13"
"267";"1000";"2";"4,7";"9";"9"
"268";"1000";"2";"4,7";"11";"11"
"269";"1000";"2";"4,7";"13";"13"
"270";"1000";"2";"4,7";"10";"10"
"271";"1000";"2";"4,8";"11";"11"
"273";"1000";"2";"4,8";"11";"11"
"272";"1000";"2";"4,8";"15";"15"
"274";"1000";"2";"4,8";"14";"14"
"275";"1000";"2";"4,8";"10";"10"
"276";"1000";"2";"4,8";"10";"10"
"277";"1000";"2";"4,8";"10";"10"
"278";"1000";"2";"4,8";"9";"9"
"279";"1000";"2";"4,8";"14";"14"
"280";"1000";"2";"4,8";"10";"10"
"281";"1000";"2";"4,9";"13";"13"
"282";"1000";"2";"4,9";"13";"13"
"285";"1000";"2";"4,9";"7";"7"
"283";"1000";"2";"4,9";"12";"12"
"284";"1000";"2";"4,9";"13";"13"
"286";"1000";"2";"4,9";"10";"10"
"288";"1000";"2";"4,9";"8";"8"
"287";"1000";"2";"4,9";"12";"12"
"289";"1000";"2";"4,9";"10";"10"
"290";"1000";"2";"4,9";"10";"10"
"294";"1000";"2";"5";"9";"9"
"292";"1000";"2";"5";"10";"10"
"291";"1000";"2";"5";"12";"12"
"293";"1000";"2";"5";"11";"11"
"297";"1000";"2";"5";"11";"11"
"296";"1000";"2";"5";"12";"12"
"295";"1000";"2";"5";"13";"13"
"298";"1000";"2";"5";"12";"12"
"300";"1000";"2";"5";"12";"12"
"299";"1000";"2";"5";"16";"16"
